Line no. 	 Token no. 	 Token 		 Lexeme

      1		       1	Keyword		     void
      1		       2	Identifier		     main
      1		       3	Special symbol	      )
      2		       4	Special symbol	      {
      3		       5	Keyword		     int
      3		       6	Identifier		     a
      3		       7	Digit		     4
      4		       8	Keyword		     float
      4		       9	Identifier		     a
      4		      10	Digit		     1
      4		      11	Digit		     56
      5		      12	Keyword		     double
      5		      13	Identifier		     abc
      5		      14	Digit		     3
      5		      15	Digit		     14159
      6		      16	Identifier		     a
      6		      17	Digit		     3
      7		      18	Special symbol	      }
